news_headline,news_article,news_category
Prior COVID-19 infection reduces reinfection risk for up to 10 months: Study,"Previous COVID-19 infection substantially reduces risk of reinfection for up to 10 months, according to a study of care home residents and staff in UK. ""It seems...this protective immunity...reduced the risk of reinfection by approximately 85% for residents and 61% for staff,"" the study, published in The Lancet Healthy Longevity journal, said. The study included over 2,000 staff and residents.",science
"How does Corbevax, the COVID-19 vaccine ordered by govt, work?","Corbevax is a ""recombinant protein sub-unit"" vaccine, which means it's made up of a specific part of SARS-CoV-2 — the spike protein. Spike protein allows virus to enter the cells in the body. However, when spike protein alone is given, the body is expected to develop an immune response which fights the virus when it attempts to infect a person.",science
"SpaceX Dragon carrying water bears, squids to ISS seen flying in daytime","SpaceX Cargo Dragon spacecraft, which was carrying 3,300kg of research experiments and supplies to the International Space Station, was seen flying into orbital in the daytime on Saturday morning. The supplies included tardigrades (or water bears), glow-in-the-dark bobtail squids and solar panels among other things. NASA has shared the video of the spacecraft.",science
Navy pilots saw something real: NASA chief orders probe into UFO sightings,"NASA chief Bill Nelson has ordered the space agency to investigate the recent UFO sightings. ""I've talked to those Navy pilots and they're sure they saw something real,"" said Nelson. ""We don't know if it's extra-terrestrial, we don't know if it's an enemy. We don't know if it's an optical phenomenon,"" added Nelson, while dismissing the possibility of an illusion. ",science
China's 'artificial sun' achieves record 120 million Celsius for 101 seconds,China's Experimental Advanced Superconducting Tokamak (EAST) set a new record by achieving plasma temperature of 120 million Celsius for 101 seconds and 160 million Celsius for 20 seconds. It broke a previous record of maintaining plasma temperature at 100 million Celsius for 100 seconds. The experimental fusion reactor replicates the nuclear fusion process that occurs in the sun and stars.,science
Iceland's glaciers lost 750 sq km of surface in 20 years: Study,"Iceland's glaciers have lost around 750 square kilometres, or 7% of their surface, in the last 20 years due to global warming, a study in the Icelandic scientific journal Jokull showed. The glaciers shrank in 2019 to 10,400 square kilometres, the study stated. Since 1890, the land covered by glaciers has decreased by 18%, researchers said.",science
Astronauts share photos of Himalayas and Italy taken from space,"Astronauts Mark T Vande Hei and Shane Kimbrough, who are currently aboard International Space Station (ISS), took to Twitter to share images of Himalayas and Italy taken from space. ""Somewhere on a clear, bright day in Himalayas...Can’t get enough views like this,"" wrote Mark. Shane shared picture of Italy's Turin, saying the city is easy to spot from ISS.",science
"Scientist takes first-ever journey to 3rd deepest ocean trench, finds plastic","Doctor Deo Florence Onda, a Filipino microbial oceanographer, discovered plastic during the first-ever journey to the third-deepest ocean trench on Earth. The 33-year-old microbial oceanologist had travelled more than 10,000 m below the surface to The Emden Deep, a part of the Philippine Trench. Onda said that he even mistook a piece of plastic for a jellyfish.",science
Tech to predict movement of impurities via soil made: IIT Mandi,IIT Mandi researchers have co-developed software which they claim accurately predicts the movement of contaminants through complex soil structure. It's especially useful in estimating fertiliser application in agricultural fields and designing disposal mechanisms for complex chemicals. The model can be used in planning and designing landfill and groundwater remediation sites.,science
Japan plans to send transformable robot to the Moon in 2022,"Japan is planning to send a transformable robot to the Moon to gather information on the lunar surface. The robot is being jointly developed by JAXA, TOMY Company, Sony and Doshisha University. It will be transported to the lunar surface by Japan-based ispace's lunar lander, which is to be launched in 2022.",science
